Name,Release Date,Retail Price,Sale Price,Size,Sale Date,52wk High|Low,12mo Trade Range,Volatility,# of Sales,Price Premium,Avg Resale Price
/jordan-14-retro-white-forest-green,10/22/2005,$150,$269,12,"Wednesday, September 30, 2020",High $600 | Low $250,$168 - $370,37.6%,22,79.3%,$368
/jordan-14-retro-redwood,12/24/2005,$150,$526,11,"Saturday, August 1, 2020",High $526 | Low $250,$447 - $605,15.1%,8,250.7%,$320
/air-jordan-14-retro-university-gold-gs,06/22/2019,$150,$142,4.5Y,"Friday, October 2, 2020",High $340 | Low $35,$90 - $194,36.8%,570,$132,
/jordan-14-retro-low-pacific-blue,03/18/2006,$130,$325,11,"Tuesday, September 29, 2020",High $350 | Low $167,$291 - $359,10.5%,15,150.0%,$262
/air-jordan-14-retro-white-hyper-royal-gs,09/19/2020,$140,$174,6.5Y,"Saturday, October 3, 2020",High $330 | Low $40,$149 - $199,14.2%,1549,24.3%,$169
/air-jordan-14-retro-linen-w,11/19/2005,$150,$450,12W,"Saturday, July 18, 2020",High $450 | Low $269,$374 - $526,17.0%,3,200.0%,$373
/air-jordan-14-retro-black-gym-red,07/02/2020,$190,$270,9.5,"Saturday, October 3, 2020",High $500 | Low $200,$265 - $289,4.4%,17507,45.8%,$273
/jordan-14-retro-graphite-chartreuse-2005,09/24/2005,$150,$475,10.5,"Friday, September 25, 2020",High $475 | Low $200,$393 - $557,17.3%,9,216.7%,$306
/air-jordan-4-retro-se-neon,03/21/2020,$225,$254,11.5,"Saturday, October 3, 2020",High $361 | Low $124,$179 - $241,15.0%,13656,$196,
/adidas-yeezy-boost-350-v2-yeezreel,12/14/2019,$220,$298,12,"Saturday, October 3, 2020",High $671 | Low $155,$280 - $316,6.1%,24526,35.5%,$260
/air-jordan-6-retro-dmp-2020,04/18/2020,$200,$235,10.5,"Saturday, October 3, 2020",High $442 | Low $136,$222 - $248,5.4%,22423,17.5%,$237
/air-jordan-1-retro-high-tie-dye-w,06/26/2020,$170,$279,9W,"Saturday, October 3, 2020",High $580 | Low $200,$259 - $299,7.3%,11404,64.1%,$288
/air-jordan-1-retro-high-fearless-unc-chicago,11/02/2019,$160,$345,8.5,"Saturday, October 3, 2020",High $800 | Low $130,$312 - $378,9.6%,38453,115.6%,$254
/nike-dunk-low-samba-2020,08/21/2020,$100,$240,11,"Saturday, October 3, 2020",High $599 | Low $200,$233 - $247,3.0%,4012,140.0%,$271
/air-jordan-6-retro-hare,06/17/2020,$190,$209,8,"Saturday, October 3, 2020",High $575 | Low $150,$203 - $215,3.0%,18499,10.0%,$241
/air-jordan-1-retro-high-shattered-backboard-3,10/26/2019,$160,$414,8,"Saturday, October 3, 2020",High $800 | Low $118,$333 - $447,14.5%,35066,143.8%,$273
/air-jordan-4-retro-bred-2019,05/04/2019,$200,$400,8.5,"Saturday, October 3, 2020",High $535 | Low --,$377 - $461,10.0%,12176,109.5%,$315
/adidas-yeezy-700-v3-alvah,04/11/2020,$200,$425,12,"Saturday, October 3, 2020","High $1,250 | Low $266",$394 - $456,7.4%,13332,112.5%,$378
/adidas-yeezy-boost-350-v2-citrin,09/23/2019,$220,$260,12,"Saturday, October 3, 2020",High $554 | Low $150,$201 - $319,22.8%,29127,18.2%,$262
/air-jordan-11-retro-concord-2018,12/08/2018,$220,$529,12,"Saturday, October 3, 2020",High $783 | Low $200,$493 - $565,6.8%,10297,140.5%,$350
/adidas-yeezy-boost-380-mist,03/25/2020,$230,$234,11,"Saturday, October 3, 2020",High $593 | Low $180,$211 - $257,9.7%,13494,1.7%,$231
/air-jordan-4-retro-black-cat-2020,01/22/2020,$190,$435,11.5,"Saturday, October 3, 2020",High $795 | Low $150,$408 - $462,6.3%,18633,128.9%,$263
/air-jordan-1-retro-high-unc-leather,08/31/2019,$160,$477,10.5,"Saturday, October 3, 2020",High $835 | Low --,$375 - $579,21.3%,20972,198.1%,$318
/air-jordan-1-mid-se-multi-color-w,04/09/2020,$125,$215,5W,"Saturday, October 3, 2020",High $340 | Low $90,$191 - $239,11.3%,11385,72.0%,$176
/adidas-ultra-boost-triple-black,12/01/2016,$200,$140,10.5,"Saturday, October 3, 2020",High $576 | Low $113,$135 - $145,3.5%,872,$171,
/adidas-yeezy-500-stone,11/23/2019,$200,$260,12,"Saturday, October 3, 2020",High $617 | Low $160,$219 - $301,15.9%,12034,30.0%,$259
/air-jordan-1-retro-high-black-gym-red-black,01/18/2020,$170,$142,14,"Saturday, October 3, 2020",High $347 | Low $80,$125 - $157,11.0%,6250,$130,
/air-jordan-6-retro-black-infrared-2019,02/16/2019,$200,$320,9.5,"Saturday, October 3, 2020",High $478 | Low $100,$297 - $343,7.1%,8914,60.0%,$285
/adidas-ultra-boost-4-0-running-white,11/30/2017,$180,$120,9,"Saturday, October 3, 2020",High $387 | Low $72,$118 - $122,1.9%,7103,$148,
/air-jordan-1-retro-high-bloodline,11/29/2019,$160,$195,14,"Saturday, October 3, 2020",High $487 | Low $100,$129 - $261,33.6%,15820,21.9%,$188
/nike-ld-waffle-sacai-white-nylon,03/10/2020,$160,$407,9.5,"Saturday, October 3, 2020",High $900 | Low $175,$456 - $552,9.5%,13763,215.0%,$328
/adidas-yeezy-boost-350-v2-linen,04/18/2020,$220,$320,11,"Saturday, October 3, 2020",High $650 | Low $240,$263 - $377,17.9%,13705,45.5%,$314
/air-jordan-5-retro-off-white-black,02/15/2020,$225,$852,10,"Saturday, October 3, 2020","High $2,200 | Low $386",$729 - $975,14.4%,14151,278.7%,$803
/adidas-yeezy-700-mauve,10/27/2018,$300,$327,10.5,"Saturday, October 3, 2020",High $583 | Low $181,$274 - $380,16.3%,11728,9.0%,$299
/air-jordan-3-retro-unc-2020,03/07/2020,$190,$360,10.5,"Saturday, October 3, 2020",High $600 | Low $200,$330 - $390,8.3%,21415,89.5%,$280
/air-jordan-1-retro-high-travis-scott,05/11/2019,$175,"$1,600",12,"Saturday, October 3, 2020","High $3,022 | Low $628","$1,484 - $1,716",7.2%,7418,814.3%,"$1,352"
/nike-ld-waffle-sacai-black-nylon,03/10/2020,$160,$295,6.5,"Saturday, October 3, 2020",High $600 | Low $125,$262 - $328,11.1%,11268,84.4%,$250
/nike-react-element-87-anthracite-black,06/14/2018,$160,$501,10.5,"Wednesday, July 3, 2019",High $442 | Low $60,$62 - $82,14.2%,7825,$110,
/adidas-yeezy-wave-runner-700-solid-grey,11/01/2017,$300,$535,8,"Saturday, October 3, 2020",High $900 | Low $340,$461 - $609,13.9%,18278,78.3%,$439
/adidas-yeezy-boost-700-v2-hospital-blue,09/28/2019,$300,$380,10,"Saturday, October 3, 2020",High $653 | Low $200,$326 - $434,14.1%,6676,26.7%,$342
/nike-air-max-270-react-travis-scott,05/29/2020,$170,$495,11,"Saturday, October 3, 2020","High $2,000 | Low $330",$462 - $528,6.7%,8130,191.2%,$518
/air-jordan-4-retro-cool-grey-2019,08/01/2019,$190,$339,11,"Saturday, October 3, 2020",High $515 | Low $84,$319 - $359,6.0%,7425,78.4%,$243
/air-jordan-3-retro-animal-pack,12/19/2019,$225,$173,10.5,"Saturday, October 3, 2020","High $1,688 | Low $140",$152 - $194,12.0%,6961,$217,
/adidas-yeezy-boost-700-mnvn-triple-black,02/08/2020,$220,$325,8,"Saturday, October 3, 2020",High $595 | Low $250,$314 - $336,3.4%,7689,47.7%,$328
/nike-air-max-90-30th-anniversary-white-particle-grey-volt,01/09/2020,$120,$81,10.5,"Saturday, October 3, 2020",High $234 | Low $31,$70 - $92,13.5%,2848,$100,
/air-jordan-6-retro-travis-scott,10/11/2019,$250,$700,12,"Saturday, October 3, 2020","High $1,700 | Low $381",$674 - $726,3.8%,19615,180.0%,$737
/adidas-yeezy-boost-700-analog,04/27/2019,$300,$278,9,"Saturday, October 3, 2020",High $750 | Low $180,$221 - $335,20.7%,8979,$293,
/air-jordan-1-retro-high-zoom-white-racer-blue,03/14/2020,$175,$363,10.5,"Saturday, October 3, 2020","High $1,462 | Low $125",$302 - $424,16.9%,13682,107.4%,$272
/air-jordan-4-retro-winter,12/21/2019,$200,$230,11,"Saturday, October 3, 2020",High $699 | Low $103,$208 - $252,9.7%,8284,15.0%,$189
/air-jordan-13-retro-flint-2020-gs,05/30/2020,$140,$140,6Y,"Saturday, October 3, 2020",High $330 | Low $95,$132 - $148,5.7%,10180,$172,
/adidas-yeezy-boost-350-v2-yeshaya,01/25/2020,$220,$319,12,"Saturday, October 3, 2020",High $730 | Low $210,$248 - $390,22.4%,12693,45.0%,$293
/air-jordan-4-retro-what-the,11/23/2019,$200,$323,7.5,"Saturday, October 3, 2020",High $600 | Low $100,$304 - $342,6.0%,12603,61.5%,$221
/nike-air-max-90-reverse-duck-camo-2020,03/26/2020,$140,$183,10,"Saturday, October 3, 2020",High $491 | Low $95,$158 - $208,13.6%,12208,30.7%,$216
/adidas-yeezy-boost-350-v2-sesame,11/23/2018,$220,$899,10,"Monday, October 22, 2018",High $770 | Low $231,$304 - $396,13.2%,7328,59.1%,$346
/jordan-11-retro-space-jams-2016,12/10/2016,$220,$428,10.5,"Saturday, October 3, 2020",High $552 | Low $136,$400 - $456,6.5%,4674,94.5%,$372
/nike-dunk-low-brazil-2020,05/21/2020,$100,$348,12,"Saturday, October 3, 2020",High $610 | Low $190,$328 - $368,5.8%,4614,248.0%,$288
/adidas-yeezy-boost-700-inertia,03/09/2019,$300,$400,10.5,"Saturday, October 3, 2020",High $700 | Low $177,$350 - $450,12.4%,10752,33.3%,$343
/nike-air-max-2-light-atmos,04/05/2019,$160,$128,10.5,"Saturday, October 3, 2020",High $359 | Low $58,$99 - $157,22.4%,6638,$128,
/air-jordan-1-retro-high-unc-patent-w,02/14/2019,$160,$540,10W,"Saturday, October 3, 2020","High $1,025 | Low $241",$451 - $629,16.4%,5266,237.5%,$482
/adidas-yeezy-boost-350-v2-sulfur,05/09/2020,$220,$554,6,"Sunday, June 7, 2020",High $553 | Low $190,$265 - $315,8.6%,4712,31.8%,$298
/air-jordan-3-retro-black-cement-2018,02/17/2018,$200,$534,12.5,"Saturday, October 3, 2020",High $574 | Low $211,$486 - $582,8.9%,4581,167.0%,$327
/adidas-yeezy-boost-700-utility-black,06/29/2019,$300,$380,9.5,"Saturday, October 3, 2020","High $1,000 | Low $212",$329 - $431,13.3%,4798,26.7%,$325
/nike-air-force-1-low-travis-scott-cactus-jack,11/16/2019,$160,$620,10,"Saturday, October 3, 2020","High $2,000 | Low $300",$581 - $659,6.2%,12849,287.5%,$581
/adidas-yeezy-boost-700-v2-tephra,06/15/2019,$300,$400,10.5,"Saturday, October 3, 2020",High $857 | Low $196,$360 - $439,9.9%,5295,33.2%,$309
/adidas-yeezy-500-high-slate,12/16/2019,$220,$200,6,"Saturday, October 3, 2020",High $800 | Low $60,$163 - $237,18.4%,5127,$220,
/air-jordan-1-retro-high-off-white-university-blue,06/23/2018,$190,"$1,771",12,"Saturday, October 3, 2020","High $2,932 | Low $815","$1,546 - $1,996",12.7%,3052,832.1%,"$1,573"
/nike-dunk-low-off-white-pine-green,12/20/2019,$170,$760,9.5,"Saturday, October 3, 2020","High $1,800 | Low $302",$643 - $877,15.4%,9074,347.1%,$614
/air-jordan-1-retro-high-satin-black-toe-w,08/17/2019,$160,$528,8.5W,"Saturday, October 3, 2020",High $900 | Low $190,$488 - $566,7.4%,9930,229.5%,$441
/adidas-yeezy-boost-350-v2-butter,06/30/2018,$220,$312,10.5,"Saturday, October 3, 2020",High $649 | Low $182,$253 - $371,18.9%,4654,41.8%,$300
/air-jordan-1-retro-low-travis-scott,07/20/2019,$130,$971,9,"Saturday, October 3, 2020","High $1,236 | Low $442","$936 - $1,006",3.6%,6409,646.9%,$746
/adidas-yeezy-boost-700-v2-geode,03/23/2019,$300,$350,9.5,"Saturday, October 3, 2020",High $583 | Low $195,$274 - $426,21.7%,7029,16.7%,$287
/nike-air-max-90-duck-camo-volt,05/15/2020,$140,$120,9,"Saturday, October 3, 2020",High $400 | Low $89,$99 - $141,17.6%,5954,$200,
/adidas-yeezy-boost-350-v2-clay,03/30/2019,$220,$584,5.5,"Saturday, October 3, 2020",High $967 | Low $175,$499 - $669,14.6%,8812,165.5%,$352
/air-jordan-1-retro-high-defiant-white-black-gym-red,07/27/2019,$175,$236,8.5,"Saturday, October 3, 2020",High $453 | Low $70,$197 - $275,16.4%,3975,34.9%,$167
/air-jordan-1-retro-high-black-hyper-pink,04/12/2019,$160,$552,7,"Wednesday, September 9, 2020",High $552 | Low $66,$343 - $433,11.5%,5648,142.5%,$237
/air-jordan-1-retro-high-shadow-2018,04/14/2018,$160,$370,12,"Saturday, October 3, 2020",High $882 | Low $101,$261 - $479,29.4%,3765,131.3%,$358
/air-jordan-4-retro-travis-scott-cactus-jack,06/09/2018,$225,"$1,050",8.5,"Saturday, October 3, 2020","High $1,750 | Low $498","$989 - $1,111",5.8%,2497,366.7%,$786
/nike-sb-dunk-low-travis-scott,02/29/2020,$150,"$1,668",8,"Saturday, October 3, 2020","High $3,999 | Low $785","$1,565 - $1,771",6.1%,7263,1012.0%,"$1,221"
/nike-dunk-low-sp-syracuse,03/14/2020,$100,$516,9.5,"Saturday, October 3, 2020",High $799 | Low $151,$497 - $535,3.6%,5692,416.0%,$316
/air-jordan-1-retro-black-blue-2017,04/01/2017,$160,$483,9.5,"Saturday, October 3, 2020",High $642 | Low $225,$429 - $537,11.2%,3147,201.9%,$380
/air-jordan-1-mid-se-fearless-blue-the-great,11/09/2019,$130,$250,10.5,"Saturday, October 3, 2020","High $1,100 | Low $111",$220 - $280,12.1%,12992,92.3%,$177
/nike-dunk-low-off-white-michigan,12/20/2019,$170,$590,8.5,"Saturday, October 3, 2020","High $2,100 | Low $280",$562 - $618,4.8%,8718,247.1%,$484
/nike-dunk-low-off-white-university-red,12/20/2019,$170,$737,12,"Saturday, October 3, 2020","High $2,200 | Low $315",$689 - $785,6.6%,9104,333.5%,$542
/adidas-yeezy-500-salt,11/30/2018,$200,$354,11.5,"Saturday, October 3, 2020",High $794 | Low $150,$308 - $400,13.0%,6005,77.0%,$287
/nike-sb-dunk-low-night-of-mischief-halloween,10/31/2019,$90,$526,12,"Sunday, October 4, 2020",High $668 | Low $153,$500 - $552,4.9%,5521,484.4%,$261
/air-jordan-3-retro-tinker-black-cement-gold,07/27/2019,$200,$192,9.5,"Sunday, October 4, 2020",High $280 | Low $61,$177 - $207,8.1%,5350,$148,
/adidas-yeezy-powerphase-calabasas-grey,12/09/2017,$120,$201,11,"Sunday, October 4, 2020",High $300 | Low $50,$165 - $237,17.8%,1860,67.5%,$126
/adidas-yeezy-boost-700-v2-vanta,06/06/2019,$300,$489,9.5,"Sunday, October 4, 2020",High $968 | Low $190,$445 - $535,9.2%,7115,63.3%,$389
/air-jordan-1-retro-high-turbo-green,02/15/2019,$160,$545,9,"Saturday, October 3, 2020","High $1,012 | Low $130",$425 - $665,22.1%,4898,240.6%,$356
/air-jordan-12-retro-black-game-royal,09/21/2019,$190,$350,11.5,"Sunday, October 4, 2020",High $432 | Low $100,$302 - $398,13.9%,4432,84.2%,$238
/air-jordan-1-retro-high-shadow-2018,04/14/2018,$160,$484,11,"Sunday, October 4, 2020",High $882 | Low $101,$376 - $592,22.3%,3763,202.5%,$358
/air-jordan-4-retro-mushroom-w,09/19/2019,$190,$300,6.5W,"Sunday, October 4, 2020",High $481 | Low --,$244 - $366,20.1%,3409,60.5%,$217
/air-jordan-4-retro-travis-scott-cactus-jack,06/09/2018,$225,$975,12,"Sunday, October 4, 2020","High $1,750 | Low $498","$925 - $1,025",5.2%,2497,333.3%,$786
/air-jordan-1-mid-se-fearless-blue-the-great,11/09/2019,$130,$250,10.5,"Saturday, October 3, 2020","High $1,100 | Low $111",$220 - $280,12.1%,12992,92.3%,$177
/air-jordan-12-retro-fiba-2019,08/24/2019,$190,$298,14,"Sunday, October 4, 2020",High $460 | Low $85,$267 - $329,10.5%,3276,56.8%,$239
/nike-air-max-90-viotech-og,08/29/2019,$140,$120,9,"Saturday, October 3, 2020",High $302 | Low $53,$87 - $153,27.8%,2855,$134,
/adidas-yeezy-boost-700-mnvn-bone,07/11/2020,$220,$482,13,"Sunday, October 4, 2020","High $1,000 | Low $280",$449 - $515,6.8%,2188,118.9%,$390
/adidas-yeezy-boost-350-v2-core-black-red-2017,02/11/2017,$220,$945,11,"Saturday, October 3, 2020","High $1,900 | Low $611",$727 - $943,13.0%,1297,279.5%,$900
/adidas-yeezy-boost-350-v2-static-black-reflective,06/06/2019,$220,$650,14,"Saturday, October 3, 2020","High $2,300 | Low $490",$522 - $778,19.8%,5874,195.5%,$934
/air-jordan-9-retro-white-gym-red,10/05/2019,$190,$250,11,"Sunday, October 4, 2020",High $500 | Low --,$210 - $290,15.9%,4372,31.6%,$209
/air-jordan-1-retro-high-neutral-grey-hyper-crimson,01/24/2019,$160,$329,9.5,"Saturday, October 3, 2020",High $646 | Low $77,$257 - $401,21.9%,3628,105.6%,$240
/adidas-yeezy-500-utility-black,07/07/2018,$200,$590,6,"Sunday, October 4, 2020","High $1,000 | Low $268",$521 - $659,11.6%,3417,195.0%,$455
/nike-zoom-terra-kiger-5-off-white-black-w,06/24/2019,$180,$233,15.5W,"Sunday, October 4, 2020",High $447 | Low $115,$210 - $256,10.0%,3271,29.4%,$245
/air-jordan-13-retro-reverse-he-got-game,01/11/2020,$190,$246,8,"Sunday, October 4, 2020",High $347 | Low $90,$227 - $265,7.6%,5258,29.5%,$190
/nike-air-fear-of-god-1-oatmeal,11/02/2019,$350,$647,9,"Sunday, October 4, 2020",High $875 | Low $310,$594 - $700,8.2%,4186,84.8%,$467
/air-jordan-1-retro-high-og-defiant-couture,02/23/2019,$175,$188,10.5,"Sunday, October 4, 2020",High $297 | Low $70,$162 - $212,13.5%,3334,6.9%,$148
/adidas-yeezy-500-blush,02/16/2018,$200,$413,10.5,"Sunday, October 4, 2020","High $1,183 | Low $201",$332 - $493,19.5%,1647,106.2%,$398
/adidas-yeezy-boost-350-v2-lundmark,07/13/2019,$220,$329,11,"Sunday, October 4, 2020",High $671 | Low --,$215 - $443,34.8%,11425,49.5%,$299
/nike-blazer-high-sacai-white-grey,10/10/2019,$140,$341,8.5,"Sunday, October 4, 2020",High $525 | Low $122,$316 - $366,7.5%,8875,143.5%,$285
/nike-blazer-high-sacai-black-grey,10/10/2019,$140,$347,9.5,"Saturday, October 3, 2020",High $588 | Low $145,$323 - $371,6.8%,8658,147.9%,$319
/air-jordan-11-retro-win-like-96,12/09/2017,$220,$433,12.5,"Sunday, October 4, 2020",High $455 | Low $170,$388 - $478,10.4%,3337,96.8%,$298
/adidas-yeezy-boost-350-v2-blue-tint,12/16/2017,$220,$500,9.5,"Sunday, October 4, 2020",High $780 | Low $326,$438 - $561,12.3%,3304,126.9%,$461
/air-jordan-1-mid-patent-black-white-gold,01/22/2019,$120,$335,8.5,"Saturday, October 3, 2020",High $425 | Low $64,$300 - $370,10.4%,3123,179.2%,$199
/nike-air-max-90-mars-landing,03/16/2019,$160,$192,9,"Sunday, October 4, 2020",High $294 | Low $40,$114 - $186,23.9%,2561,$131,
/adidas-yeezy-boost-350-v2-glow,05/25/2019,$250,$563,10.5,"Sunday, October 4, 2020",High $943 | Low $336,$516 - $610,8.3%,2497,125.2%,$536
/nike-dunk-low-sp-kentucky,03/14/2020,$100,$452,11,"Saturday, October 3, 2020",High $669 | Low $165,$408 - $496,9.7%,5063,352.0%,$299
/adidas-nmd-hu-pharrell-human-made-white-red,09/25/2019,$220,$390,6,"Saturday, October 3, 2020",High $500 | Low $150,$341 - $439,12.5%,3558,77.3%,$239
